store_branch_id,store_id,lat,lng
aff1621254f7c1be92f64550478c56e6,92cc227532d17e56e07902b254dfad10,-33.422497,-70.609231
56352739f59643540a3a6e16985f62c7,0336dcbab05b9d5ad24f4333c7658a0e,-33.385484,-70.555579
7d04bbbe5494ae9d2f5a76aa1c00fa2f,9bf31c7ff062936a96d3c8bd1f8f2ff3,-33.416579,-70.565224
2b24d495052a8ce66358eb576b8912c8,c4ca4238a0b923820dcc509a6f75849b,-33.5125776,-70.6559515
5487315b1286f907165907aa8fc96619,d82c8d1619ad8176d665453cfb2e55f0,-33.347645,-70.542229
24146db4eb48c718b84cae0a0799dcfc,5fd0b37cd7dbbb00f97ba6ce92bf5add,-33.404418,-70.597078
6e0721b2c6977135b916ef286bcb49ec,32bb90e8976aab5298d5da10fe66f21d,-33.41907,-70.551128
a981f2b708044d6fb4a71a1463242520,c4ca4238a0b923820dcc509a6f75849b,-33.516349,-70.708798
c5ab0bc60ac7929182aadd08703f1ec6,c0c7c76d30bd3dcaefc96f40275bdc0a,-33.455672,-70.58563
8bb88f80d334b1869781beb89f7b73be,1700002963a49da13542e0726b7bb758,-33.398621,-70.598018
c366c2c97d47b02b24c3ecade4c40a01,c86a7ee3d8ef0b551ed58e354a836f2b,-33.355406,-70.537186
8d8818c8e140c64c743113f563cf750f,d61e4bbd6393c9111e6526ea173a7c8b,-33.432952,-70.601684
d1f491a404d6854880943e5c3cd9ca25,9bf31c7ff062936a96d3c8bd1f8f2ff3,-33.428466,-70.540343
bca82e41ee7b0833588399b1fcd177c7,f7177163c833dff4b38fc8d2872f1ec6,-33.419042,-70.572607
39cd7b469beae7c617c73e0d008195ef,a89cf525e1d9f04d16ce31165e139a4b,-33.413698,-70.578663
795c7a7a5ec6b460ec00c5841019b9e9,9778d5d219c5080b9a6a17bef029331c,-33.521884,-70.597233
07563a3fe3bbe7e3ba84431ad9d055af,c4ca4238a0b923820dcc509a6f75849b,-33.008213,-71.545615
872488f88d1b2db54d55bc8bba2fad1b,735b90b4568125ed6c3f678819b6e058,-33.347645,-70.542229
602d1305678a8d5fdb372271e980da6a,9778d5d219c5080b9a6a17bef029331c,-33.5118,-70.656915
087408522c31eeb1f982bc0eaf81d35f,c4ca4238a0b923820dcc509a6f75849b,-36.828629,-73.060345
540ae6b0f6ac6e155062f3dd4f0b2b01,3644a684f98ea8fe223c713b77189a77,-33.409534,-70.567352
6c1da886822c67822bcf3679d04369fa,65b9eea6e1cc6bb9f0cd2a47751a186f,-32.9584868539,-71.5437147503
